timestamp,latitude,longitude,speed(m/s)
1577219660,-27.68732341,-51.12901127,7.2144375
1577219661,-27.68726871,-51.12904656,6.9202952
1577219662,-27.68721729,-51.12907999,6.515482
1577219663,-27.68717198,-51.12911067,5.931361
1577219664,-27.68713266,-51.12913419,4.8589044
1577219665,-27.6871031,-51.12915259,3.6873457
1577219666,-27.68707605,-51.12917093,3.563947
1577219667,-27.68704685,-51.12919261,3.9439452
1577219668,-27.687011,-51.12921822,4.9382944
1577219669,-27.6869713,-51.12925065,5.282435
1577219670,-27.68692774,-51.12927746,5.6778884
1577219671,-27.6868762,-51.12929982,6.0554733
1577219672,-27.686824,-51.12931958,6.2113824
1577219673,-27.68677156,-51.12934458,6.4516706
1577219674,-27.68671668,-51.12937741,6.7912955
1577219675,-27.68666282,-51.12941089,6.827432
1577219676,-27.68660704,-51.12944195,6.868465
1577219677,-27.68655025,-51.12947247,6.959493
1577219678,-27.68649245,-51.12950339,7.0801396
1577219679,-27.68643381,-51.12953412,7.1016474
1577219680,-27.68637501,-51.12956194,7.0812874
1577219681,-27.68631287,-51.12958443,7.2510276
1577219682,-27.68624813,-51.12960499,7.3254924
1577219683,-27.68618352,-51.12962298,7.3612423
1577219684,-27.68611757,-51.12964057,7.5011406
1577219685,-27.68605216,-51.12965898,7.4808097
1577219686,-27.68598657,-51.12967709,7.4972
1577219687,-27.68592201,-51.12969395,7.3677235
1577219688,-27.68586121,-51.12971096,7.0364823
1577219689,-27.68580288,-51.1297263,6.622751
1577219690,-27.68574645,-51.12974245,6.5670877
1577219691,-27.68569383,-51.12975303,6.0814004
1577219692,-27.68564636,-51.12975671,5.395749
1577219693,-27.68560844,-51.12975906,4.166407
1577219694,-27.68557613,-51.12976368,3.447921
1577219695,-27.68555878,-51.12976896,1.9800755
1577219696,-27.68555095,-51.12977024,0.833833
1577219697,-27.6855445,-51.12977181,0.66832066
1577219698,-27.68553521,-51.12977504,1.0197101
1577219699,-27.68551754,-51.12978113,2.0226698
1577219700,-27.68549418,-51.12978893,2.6530669
1577219701,-27.68546514,-51.12980017,3.388139
1577219702,-27.68543362,-51.12981436,3.3788555
1577219703,-27.6854058,-51.12982419,3.2176976
1577219704,-27.68537482,-51.12983234,3.4365427
1577219705,-27.68534188,-51.12984526,4.032982
1577219706,-27.68530554,-51.12986386,4.4201627
1577219707,-27.68526366,-51.12988448,5.0335083
1577219708,-27.68521702,-51.12990502,5.2116632
1577219709,-27.68517253,-51.12991812,4.9037547
1577219710,-27.68513113,-51.12992896,4.6987557
1577219711,-27.68510071,-51.12993972,3.4984493
1577219712,-27.68507433,-51.1299489,3.1030838
1577219713,-27.68504483,-51.12996133,3.4367614
1577219714,-27.68501377,-51.12997341,3.6358647
1577219715,-27.6849781,-51.12998512,4.1272173
1577219716,-27.68493739,-51.13000007,4.7360244
1577219717,-27.68489137,-51.13001711,5.3035636
1577219718,-27.68483948,-51.13003512,5.965447
1577219719,-27.68478091,-51.13004876,6.5995493
1577219720,-27.68472007,-51.13006173,6.900723
1577219721,-27.68465836,-51.13008295,7.1927876
1577219722,-27.6845954,-51.13010703,7.3886404
1577219723,-27.68453167,-51.13013087,7.415333
1577219724,-27.68446874,-51.13015248,7.3396277
1577219725,-27.68440625,-51.13017395,7.2556233
1577219726,-27.6843447,-51.13019603,7.163121
1577219727,-27.68428449,-51.13021868,7.0845733
1577219728,-27.68422336,-51.13024153,7.1258154
1577219729,-27.68416074,-51.13026615,7.323677
1577219730,-27.68409666,-51.13029174,7.533592
1577219731,-27.68403288,-51.13031738,7.502207
1577219732,-27.68396773,-51.13034289,7.6501193
1577219733,-27.68390221,-51.13036785,7.6896024
1577219734,-27.68383611,-51.13039328,7.7521663
1577219735,-27.68377207,-51.13041779,7.5251412
1577219736,-27.6837154,-51.13043898,6.6137757
1577219737,-27.68366832,-51.1304557,5.4640727
1577219738,-27.68363006,-51.1304679,4.370785
1577219739,-27.68360123,-51.13047238,3.2068202
1577219740,-27.68357326,-51.13046672,3.1546674
1577219741,-27.68354472,-51.13044722,3.6968088
1577219742,-27.6835214,-51.13041574,4.01629
1577219743,-27.68350586,-51.13037247,4.5088873
1577219744,-27.68349348,-51.13032504,4.768769
1577219745,-27.68348245,-51.13028139,4.370251
1577219746,-27.68346762,-51.13023446,4.8866496
1577219747,-27.68344853,-51.13018316,5.388349
1577219748,-27.68342997,-51.13013026,5.544069
1577219749,-27.68341437,-51.13007238,5.9285903
1577219750,-27.68339929,-51.13000728,6.602183
1577219751,-27.68338277,-51.12994101,6.762033
1577219752,-27.68336696,-51.12987659,6.5004053
1577219753,-27.68335048,-51.12981881,5.9443965
1577219754,-27.68333393,-51.12976694,5.409785
1577219755,-27.68332092,-51.12972351,4.4696403
